Location,Unit,Disturbance,Transect,Plot,Microtopography,BareSoil_pct,OAKcount
BEF,44B,B,1,15,FLT,85,0
BEF,44B,B,1,25,SLS,50,0
BEF,44B,B,1,35,SLS,40,0
BEF,44B,B,1,45,CVX,85,0
BEF,44B,B,1,5,FLT,60,0
BEF,44B,B,1,55,CVX,90,0
BEF,44B,B,1,65,MDS,75,0
BEF,44B,B,1,75,MDS,60,0
BEF,44B,B,1,85,SLS,95,0
BEF,44B,B,1,95,CVX,5,0
BEF,45C,C,1,15,SLS,0,0
BEF,45C,C,1,25,SLS,0,0
BEF,45C,C,1,35,MDS,0,0
BEF,45C,C,1,45,MDS,0,0
BEF,45C,C,1,5,STS,0,0
BEF,45C,C,1,55,MDS,0,0
BEF,45C,C,1,65,MDS,0,0
BEF,45C,C,1,75,MDS,0,0
BEF,45C,C,2,15,MDS,0,0
BEF,45C,C,2,25,MDS,5,0
BEF,45C,C,2,35,MDS,0,0
BEF,45C,C,2,45,MDS,0,0
BEF,45C,C,2,5,MDS,0,0
BEF,46B,B,1,15,SLS,45,0
BEF,46B,B,1,25,SLS,5,0
BEF,46B,B,1,35,SLS,0,0
BEF,46B,B,1,45,FLT,0,0
BEF,46B,B,1,5,FLT,55,0
BEF,46B,B,2,15,SLS,45,0
BEF,46B,B,2,25,MDS,60,0
BEF,46B,B,2,35,FLT,90,0
BEF,46B,B,2,45,SLS,45,0
BEF,46B,B,2,5,FLT,40,0
BEF,46B,B,3,15,MDS,65,0
BEF,46B,B,3,25,CVX,70,0
BEF,46B,B,3,35,MDS,0,0
BEF,46B,B,3,45,MDS,95,0
BEF,46B,B,3,5,SLS,0,0
BEF,46B,B,3,55,MDS,45,0
BEF,46B,B,3,65,STS,55,0
BEF,46B,B,3,75,MDS,70,0
BEF,46B,B,3,85,FLT,85,0
BEF,46B,B,3,95,SLS,0,0
BEF,46B,B,4,15,MDS,80,0
BEF,46B,B,4,25,CVX,75,0
BEF,46B,B,4,35,CVX,40,0
BEF,46B,B,4,45,CVX,60,0
BEF,46B,B,4,5,SLS,65,0
BEF,46B,B,4,55,SLS,85,0
BEF,46B,B,4,65,SLS,70,0
BEF,46B,B,4,75,MDS,40,0
BEF,46C,C,1,15,MDS,0,0
BEF,46C,C,1,25,MDS,0,0
BEF,46C,C,1,35,SLS,40,0
BEF,46C,C,1,45,MDS,20,0
BEF,46C,C,1,5,MDS,0,0
BEF,46C,C,1,55,MDS,30,0
BEF,46C,C,1,65,SLS,0,0
BEF,46C,C,1,75,SLS,60,0
BEF,46C,C,2,15,SLS,0,0
BEF,46C,C,2,25,SLS,0,0
BEF,46C,C,2,35,MDS,0,0
BEF,46C,C,2,45,CVX  ,0,0
BEF,46C,C,2,5,FLT,0,0
BEF,46C,C,2,55,MDS,0,0
BEF,46C,C,2,65,SLS,30,0
BEF,46C,C,2,75,SLS,30,0
BEF,46C,C,3,15,SLS,55,0
BEF,46C,C,3,25,SLS,5,0
BEF,46C,C,3,35,SLS,0,0
BEF,46C,C,3,45,SLS,0,0
BEF,46C,C,3,5,FLT,0,0
BEF,46C,C,3,55,MDS,0,0
BEF,46C,C,3,65,SLS,0,0
BEF,46C,C,3,75,FLT,0,0
BEF,46C,C,4,15,MDS,0,0
BEF,46C,C,4,25,MDS,15,0
BEF,46C,C,4,35,MDS,0,0
BEF,46C,C,4,45,FLT,50,0
BEF,46C,C,4,5,MDS,0,0
BEF,46C,C,4,55,MDS,40,0
BEF,46C,C,4,65,MDS,5,0
BEF,46C,C,4,75,SLS,0,0
CF,NA,B,1,105,CCV,5,0
CF,NA,B,1,115,CVX,5,0
CF,NA,B,1,125,MDS,25,0
CF,NA,B,1,135,MDS,10,0
CF,NA,B,1,145,MDS,15,0
CF,NA,B,1,15,SLS,20,0
CF,NA,B,1,155,STS,10,0
CF,NA,B,1,165,SLS,5,0
CF,NA,B,1,185,STS,40,0
CF,NA,B,1,195,CCV,5,0
CF,NA,B,1,25,SLS,25,0
CF,NA,B,1,35,MDS,60,0
CF,NA,B,1,45,CCV,20,0
CF,NA,B,1,5,SLS,25,1
CF,NA,B,1,55,CVX,25,0
CF,NA,B,1,65,SLS,10,0
CF,NA,B,1,75,SLS,35,0
CF,NA,B,1,85,MDS,5,0
CF,NA,B,1,95,CCV,0,0
CF,NA,B,2,15,MDS,5,0
CF,NA,B,2,25,MDS,85,0
CF,NA,B,2,35,STS  ,45,0
CF,NA,B,2,45,STS,10,0
CF,NA,B,2,5,CVX,10,0
CF,NA,B,3,15,FLT,50,0
CF,NA,B,3,25,SLS,50,0
CF,NA,B,3,35,FLT,50,0
CF,NA,B,3,45,MDS  ,80,0
CF,NA,B,3,5,STS,5,0
CF,NA,B,3,55,SLS,65,0
CF,NA,B,3,65,FLT,30,0
CF,NA,B,3,75,MDS,65,0
CF,NA,B,4,15,STS,50,0
CF,NA,B,4,25,MDS,70,0
CF,NA,B,4,35,STS,95,0
CF,NA,B,4,45,STS,40,0
CF,NA,B,4,5,STS,80,0
CF,NA,B,4,55,STS,85,0
CF,NA,B,4,65,MDS,0,0
CF,NA,B,4,75,SLS   ,60,0
CF,NA,B,4,85,CVX,0,0
CF,NA,B,4,95,MDS,10,0
CF,NA,C,1,15,SLS,63,0
CF,NA,C,1,25,MDS,0,0
CF,NA,C,1,35,MDS,0,0
CF,NA,C,1,45,SLS,0,0
CF,NA,C,1,5,MDS,0,0
CF,NA,C,1,55,MDS,0,0
CF,NA,C,1,65,MDS,30,0
CF,NA,C,1,75,FLT,0,0
CF,NA,C,1,85,MDS,0,0
CF,NA,C,1,95,CVX,5,0
CF,NA,C,2,15,CCV,0,0
CF,NA,C,2,25,FLT,45,0
CF,NA,C,2,35,MDS,10,3
CF,NA,C,2,45,MDS,0,0
CF,NA,C,2,5,CVX,40,0
CF,NA,C,2,55,CCV,40,7
CF,NA,C,2,65,MDS,0,0
CF,NA,C,2,75,STS,3,0
CF,NA,C,2,85,STS,0,0
HOG,12/2,C,1,15,SLS,0,0
HOG,12/2,C,1,25,MDS,0,16
HOG,12/2,C,1,35,FLT,0,8
HOG,12/2,C,1,45,MDS,0,0
HOG,12/2,C,1,5,MDS,0,27
HOG,12/2,C,2,25,FLT,0,11
HOG,12/2,C,2,35,SLS,0,4
HOG,12/2,C,2,45,SLS,0,8
HOG,12/2,C,2,5,SLS,0,8
HOG,12/2,C,3,15,FLT,0,28
HOG,12/2,C,3,25,MDS,0,3
HOG,12/2,C,3,35,CCV,0,12
HOG,12/2,C,3,45,FLT,0,32
HOG,12/2,C,3,5,SLS,0,20
HOG,12/2,C,4,15,SLS,0,4
HOG,12/2,C,4,25,MDS,5,1
HOG,12/2,C,4,35,MDS,5,16
HOG,12/2,C,4,45,SLS,0,6
HOG,12/2,C,4,5,FLT,45,25
HOG,12/2,C,4,55,FLT,0,0
HOG,12/2,C,4,65,FLT,0,26
HOG,12/2,C,4,75,FLT,0,11
HOG,12/2,C,4,85,SLS,0,2
HOG,12/2,C,4,95,CVX,0,24
HOG,12/2,C,5,105,SLS,0,8
HOG,12/2,C,5,115,FLT,0,37
HOG,12/2,C,5,125,FLT,0,22
HOG,12/2,C,5,135,CVX,0,15
HOG,12/2,C,5,145,SLS,2,25
HOG,12/2,C,5,15,MDS,0,12
HOG,12/2,C,5,25,SLS,0,1
HOG,12/2,C,5,35,MDS,0,0
HOG,12/2,C,5,45,CCV,0,0
HOG,12/2,C,5,5,FLT,0,0
HOG,12/2,C,5,55,SLS,0,3
HOG,12/2,C,5,65,MDS,0,1
HOG,12/2,C,5,75,MDS,0,0
HOG,12/2,C,5,85,FLT,0,5
HOG,12/2,C,5,95,CVX,10,8
HOG,12/2,C,6,15,FLT,0,8
HOG,12/2,C,6,25,FLT,0,7
HOG,12/2,C,6,35,FLT,0,12
HOG,12/2,C,6,45,SLS,0,16
HOG,12/2,C,6,5,SLS,0,25
HOG,20/2,B,1,15,FLT,0,1
HOG,20/2,B,1,25,MDS,0,18
HOG,20/2,B,1,35,MDS,0,9
HOG,20/2,B,1,45,SLS,0,43
HOG,20/2,B,1,5,SLS,0,36
HOG,20/2,B,1,55,SLS,0,14
HOG,20/2,B,1,65,MDS,0,11
HOG,20/2,B,1,75,CVX   ,0,15
HOG,20/2,B,1,85,SLS,0,11
HOG,20/2,B,1,95,CVX,0,7
HOG,20/2,B,2,15,CCV,5,4
HOG,20/2,B,2,25,FLT,0,73
HOG,20/2,B,2,35,FLT,0,66
HOG,20/2,B,2,45,MDS,0,22
HOG,20/2,B,2,5,FLT,0,0
HOG,20/2,B,3,15,SLS,5,20
HOG,20/2,B,3,25,MDS,10,4
HOG,20/2,B,3,35,SLS,5,6
HOG,20/2,B,3,45,SLS,45,6
HOG,20/2,B,3,5,FLT,80,3
HOG,20/2,B,3,55,MDS,25,6
HOG,20/2,B,3,65,MDS,0,8
HOG,20/2,B,3,75,FLT,0,0
HOG,20/2,B,4,15,SLS,5,5
HOG,20/2,B,4,25,FLT,0,23
HOG,20/2,B,4,35,MDS,0,2
HOG,20/2,B,4,45,SLS,5,2
HOG,20/2,B,4,5,MDS,0,12
HOG,20/2,B,4,55,SLS,0,21
HOG,20/2,B,4,65,CCV,0,9
HOG,20/2,B,4,75,MDS,0,2
HOG,28/2,B,1,15,SLS,0,4
HOG,28/2,B,1,25,FLT,0,13
HOG,28/2,B,1,35,MDS,0,35
HOG,28/2,B,1,45,FLT,0,12
HOG,28/2,B,1,5,SLS,0,135
HOG,28/2,B,1,55,SLS,10,20
HOG,28/2,B,1,65,SLS,0,65
HOG,28/2,B,1,75,MDS,0,46
HOG,28/2,B,1,85,MDS,0,16
HOG,28/2,B,1,95,MDS,0,2
HOG,28/2,B,2,15,SLS,0,1
HOG,28/2,B,2,25,MDS,0,29
HOG,28/2,B,2,35,FLT,10,8
HOG,28/2,B,2,45,SLS,10,6
HOG,28/2,B,2,5,MDS,0,17
HOG,28/2,B,2,55,SLS,0,14
HOG,28/2,B,2,65,MDS,0,30
HOG,28/2,B,2,75,SLS,25,16
HOG,28/2,B,2,85,SLS,0,23
HOG,28/2,B,2,95,MDS,0,51
HOG,28/2,B,3,15,SLS,0,28
HOG,28/2,B,3,25,SLS,0,17
HOG,28/2,B,3,35,FLT,0,11
HOG,28/2,B,3,45,SLS,0,26
HOG,28/2,B,3,5,SLS,0,26
HOG,28/2,B,3,55,SLS,0,28
HOG,28/2,B,3,65,MDS,0,2
HOG,28/2,B,3,75,FLT,0,7
HOG,28/2,B,3,85,MDS,0,22
HOG,28/2,B,3,95,SLS,0,28
HOG,3/1,C,1,15,CVX,0,11
HOG,3/1,C,1,25,MDS,0,9
HOG,3/1,C,1,35,FLT,0,9
HOG,3/1,C,1,45,SLS,5,3
HOG,3/1,C,1,5,CVX,0,7
HOG,3/1,C,1,55,MDS,0,14
HOG,3/1,C,1,75,SLS,0,0
HOG,3/1,C,1,85,SLS,0,15
HOG,3/1,C,1,95,SLS,0,3
HOG,3/1,C,2,15,SLS,0,13
HOG,3/1,C,2,25,SLS,0,12
HOG,3/1,C,2,35,SLS,0,38
HOG,3/1,C,2,45,SLS,0,95
HOG,3/1,C,2,5,MDS,0,48
HOG,3/1,C,2,55,MDS,0,2
HOG,3/1,C,2,65,MDS,4,42
HOG,3/1,C,2,75,SLS,0,25
HOG,3/1,C,2,85,CCV,0,11
HOG,3/1,C,2,95,MDS,0,0
HOG,3/1,C,3,15,FLT,15,1
HOG,3/1,C,3,25,CCV,0,0
HOG,3/1,C,3,35,MDS,0,1
HOG,3/1,C,3,45,CCV,0,2
HOG,3/1,C,3,5,MDS,0,0
HOG,3/1,C,3,55,MDS,0,0
HOG,3/1,C,3,65,MDS,6,12
HOG,3/1,C,3,75,CCV,0,4
HOG,3/1,C,3,85,CCV,0,30
HOG,3/1,C,3,95,SLS,0,93
SB,3/16,B,1,105,SLS,2,5
SB,3/16,B,1,115,SLS,0,93
SB,3/16,B,1,125,FLT,0,29
SB,3/16,B,1,135,FLT,0,50
SB,3/16,B,1,145,FLT,1,29
SB,3/16,B,1,15,SLS,0,57
SB,3/16,B,1,155,SLS,0,35
SB,3/16,B,1,165,STS,12,74
SB,3/16,B,1,175,SLS,0,36
SB,3/16,B,1,185,CVX,5,39
SB,3/16,B,1,195,MDS,0,86
SB,3/16,B,1,205,FLT,5,45
SB,3/16,B,1,225,SLS,25,63
SB,3/16,B,1,5,SLS,0,81
SB,3/16,B,2,15,MDS,2,46
SB,3/16,B,1,25,SLS,0,28
SB,3/16,B,2,25,MDS,45,23
SB,3/16,B,2,35,FLT,0,39
SB,3/16,B,2,45,FLT,1,13
SB,3/16,B,2,5,MDS,10,4
SB,3/16,B,2,55,FLT,20,9
SB,3/16,B,2,65,MDS,0,18
SB,3/16,B,2,75,MDS,90,31
SB,3/16,B,2,85,CVX,0,23
SB,3/16,B,2,95,SLS,0,38
SB,3/16,B,3,15,MDS,95,86
SB,3/16,B,3,25,MDS,0,45
SB,3/16,B,1,35,FLT,0,47
SB,3/16,B,3,35,SLS,0,47
SB,3/16,B,3,45,SLS,5,49
SB,3/16,B,3,5,SLS,50,24
SB,3/16,B,4,15,FLT,0,76
SB,3/16,B,4,25,MDS,0,14
SB,3/16,B,4,35,MDS,0,21
SB,3/16,B,1,45,SLS,0,29
SB,3/16,B,4,45,CVX,0,37
SB,3/16,B,4,5,CVX,95,20
SB,3/16,B,5,105,FLT,0,41
SB,3/16,B,5,115,FLT,0,18
SB,3/16,B,5,125,CVX,2,57
SB,3/16,B,5,135,FLT,0,58
SB,3/16,B,5,145,CCV,0,43
SB,3/16,B,5,15,MDS,0,59
SB,3/16,B,5,155,CVX,4,12
SB,3/16,B,5,165,MDS,3,50
SB,3/16,B,5,175,MDS,0,39
SB,3/16,B,5,185,MDS,0,41
SB,3/16,B,5,195,SLS,0,28
SB,3/16,B,5,205,SLS,0,71
SB,3/16,B,5,215,SLS,2,84
SB,3/16,B,5,225,SLS,0,19
SB,3/16,B,5,25,MDS,0,11
SB,3/16,B,5,35,MDS,0,23
SB,3/16,B,5,45,SLS,0,52
SB,3/16,B,5,5,MDS,0,20
SB,3/16,B,1,55,FLT,1,15
SB,3/16,B,5,55,CCV,0,46
SB,3/16,B,5,65,MDS,0,45
SB,3/16,B,5,75,FLT,0,26
SB,3/16,B,5,85,FLT,0,74
SB,3/16,B,5,95,FLT,0,49
SB,3/16,B,1,65,SLS,0,12
SB,3/16,B,1,75,SLS,0,28
SB,3/16,B,1,85,MDS,5,27
SB,3/16,B,1,95,MDS,5,31
SB,5/15,C,1,105,MDS,75,60
SB,5/15,C,1,115,CCV,20,1
SB,5/15,C,1,125,SLS,0,2
SB,5/15,C,1,135,SLS,0,1
SB,5/15,C,1,145,SLS,0,0
SB,5/15,C,1,15,FLT,10,0
SB,5/15,C,1,155,MDS,0,2
SB,5/15,C,1,165,MDS,0,1
SB,5/15,C,1,175,SLS,0,1
SB,5/15,C,1,185,SLS,0,0
SB,5/15,C,1,195,SLS,0,0
SB,5/15,C,1,25,SLS,0,0
SB,5/15,C,1,35,FLT,0,5
SB,5/15,C,1,45,SLS,0,1
SB,5/15,C,1,5,FLT,0,2
SB,5/15,C,1,55,SLS,0,9
SB,5/15,C,1,65,FLT,64,1
SB,5/15,C,1,75,FLT,90,7
SB,5/15,C,1,85,MDS,2,0
SB,5/15,C,1,95,FLT,40,1
SB,5/15,C,2,15,MDS,0,0
SB,5/15,C,2,25,FLT,2,3
SB,5/15,C,2,35,FLT,0,2
SB,5/15,C,2,45,FLT,0,4
SB,5/15,C,2,5,FLT,0,9
SB,5/15,C,2,50,FLT,0,12
SB,5/15,C,2,60,FLT,0,6
SB,5/15,C,2,70,FLT,0,7
SB,5/15,C,3,15,SLS,0,2
SB,5/15,C,3,25,CCV,5,0
SB,5/15,C,3,35,SLS,0,0
SB,5/15,C,3,45,MDS,5,0
SB,5/15,C,3,5,SLS,0,0
SB,5/15,C,3,55,MDS,0,0
SB,5/15,C,3,65,MDS,0,0
SB,5/15,C,3,75,SLS,0,0
SB,5/15,C,4,15,FLT,0,0
SB,5/15,C,4,25,SLS,0,6
SB,5/15,C,4,35,MDS,20,3
SB,5/15,C,4,45,MDS,0,4
SB,5/15,C,4,5,FLT,0,6
SB,5/15,C,5,15,FLT,0,8
SB,5/15,C,5,25,FLT,0,0
SB,5/15,C,5,35,SLS,0,0
SB,5/15,C,5,5,FLT,45,0
